level_0,level_1,level_2,linearity,planarity,scattering,omnivariance,sum_of_eigenvalues,anisotropy,eigenentropy,change_of_curvature,residual,processed,new_classification
62,69,2,0.2432108769821668,0.539745946428673,0.21704317658916,0.7124120234294854,2.567642087096369,0.7829568234108399,0.0303397973617676,0.1099602922864192,1.1385836213687388,True,Trees
27,68,5,0.849515472425465,0.1266945903942088,0.0237899371803261,0.1902591774713821,1.4604505291533647,0.9762100628196738,0.1465551742627381,0.0202592646730953,1.0951194266364277,True,Trees
65,48,3,0.0457385516426848,0.9432571592508971,0.0110042891064179,0.3016764337187025,2.7074028259605156,0.9889957108935822,-0.7374400509922071,0.0055993898924933,1.1729527020658808,True,Terrain
92,57,4,0.7004358927073523,0.239274077192086,0.0602900301005616,0.3728382350004011,1.932417720041846,0.9397099698994384,0.0747290118374062,0.0443356595701767,1.1901595710116704,True,Trees
87,26,7,0.2867670261936423,0.1497820468407455,0.5634509269656122,1.13807701509545,3.5111163288148095,0.4365490730343878,-0.6508399429644699,0.2474875527404394,1.2421051417486482,True,Trees
31,67,4,0.3181613077685817,0.2966100710323407,0.3852286211990776,1.363196059932079,4.399934507621902,0.6147713788009225,-1.9859494451045152,0.18636481680887,1.4606514724988904,True,Trees
78,65,3,0.1003325471720212,0.1588430113545508,0.740824441473428,1.1404656218307372,3.4474761197651858,0.2591755585265721,-0.5050080491310383,0.2805630432239699,1.1416827842837023,True,Trees
93,37,6,0.6321286108903929,0.2763665990739754,0.0915047900356316,0.9829969679918812,4.442964239650346,0.9084952099643684,-3.1602410930712033,0.0627013043951603,1.7404213758089129,True,Trees
62,68,2,0.1821471735521134,0.3938525430443185,0.4240002834035681,1.102274739836664,3.5173579982863115,0.5759997165964319,-0.7554465996160658,0.1891293776297691,1.2513433445533262,True,Trees
27,67,5,0.2623231413122254,0.3795563351324365,0.3581205235553381,1.15524093800807,3.7733179994940818,0.6418794764446619,-1.1526035348773638,0.1708755467439533,1.3417451728235266,True,Trees
67,27,7,0.4233068334632576,0.4753201190830524,0.1013730474536899,0.124749822419522,0.5393780393771722,0.8986269525463101,0.7888006247429489,0.0604106361289674,0.5628322642453543,True,Trees
90,58,4,0.7541127942772777,0.0633382281354304,0.1825489775872918,0.3619076328922324,1.4546331254201472,0.8174510224127082,0.6410029868916091,0.1277963830097638,1.00718261860275,True,Trees
78,51,2,0.0161335757282533,0.9734587509920928,0.0104076732796537,0.2920813631232056,2.6824116823557316,0.989592326720346,-0.7097312233160085,0.005218777745964,1.1613185462163862,True,Terrain
74,68,3,0.6388527405606684,0.3231499704529076,0.0379972889864239,0.7902849432026783,4.618496801318793,0.962002711013576,-3.891126388376665,0.0271575149466697,1.8119782894304184,True,Trees
75,0,3,0.4921094233511141,0.4998829473386011,0.0080076293102847,0.0081225933611022,0.077138888881313,0.9919923706897152,0.2492082792078314,0.0052824320780946,0.2126793913431583,True,Terrain
83,27,8,0.1931978479698324,0.2032058956648676,0.6035962563653,1.386326638200488,4.247335214088572,0.3964037436347,-1.5639643688970428,0.2504134811336423,1.3265537289042983,True,Trees
76,5,3,0.0213823422923043,0.9171612478104676,0.0614564098972282,0.5307052045022327,2.7633710532561766,0.9385435901027718,-0.5777284515701392,0.0301245973727703,1.1638088069394787,True,Terrain
75,68,3,0.4179989617367445,0.304359955853042,0.2776410824102134,1.008969938845012,3.444861548751099,0.7223589175897867,-0.8811371440572328,0.1492981253348175,1.360477068947177,True,Trees
110,51,6,0.8889095192061441,0.0713892016066764,0.0397012791871795,0.0353888448273775,0.2483339031631564,0.9602987208128204,0.461122005639161,0.0344990992878101,0.4558525907957906,True,Terrain
14,11,4,0.6863135259777122,0.312658494254069,0.0010279797682186,0.0682782522501696,1.3090423990742883,0.9989720202317812,0.3748089037435793,0.0007819034507872,0.9933319453959246,True,Terrain
82,65,2,0.5363670049096182,0.1749664771390712,0.2886665179513106,0.4025624358978931,1.3790647930081066,0.7113334820486894,0.8930570502621427,0.1647358318614349,0.8768159854437456,True,Trees
